Date,Time,Vrms ph-n L1N Min,Vrms ph-n L1N Avg,Vrms ph-n L1N Max,Current L1 Min,Current L1 Avg,Current L1 Max,Unbalance Vn Avg
16-09-2023,01:56.1,233.64,233.8,233.9,19,19.1,19.3,0.91
16-09-2023,02:01.1,233.56,233.72,233.82,19,19.1,19.4,0.9
16-09-2023,02:06.1,233.52,233.64,233.76,19,19.2,19.4,0.9
16-09-2023,02:11.1,233.38,233.54,233.74,19,19.2,19.4,0.9
16-09-2023,02:16.1,233.32,233.5,233.62,19,19.2,19.3,0.9
16-09-2023,02:21.1,233.48,233.64,233.8,19,19.2,19.4,0.9
16-09-2023,02:26.1,233.56,233.72,233.8,19,19.2,19.4,0.9
16-09-2023,02:31.1,233.48,233.66,233.86,19,19.2,19.4,0.9
16-09-2023,02:36.1,233.5,233.64,233.82,19,19.2,19.4,0.9
16-09-2023,02:41.1,233.56,233.64,233.72,19,19.2,19.4,0.9
16-09-2023,02:46.1,233.44,233.62,233.78,19,19.2,19.4,0.91
16-09-2023,02:51.1,233.44,233.62,233.78,19,19.2,19.4,0.9
16-09-2023,02:56.1,233.6,233.7,233.86,19,19.2,19.4,0.9
16-09-2023,03:01.1,233.46,233.66,233.84,19.1,19.2,19.4,0.89
16-09-2023,03:06.1,233.66,233.8,234,19.1,19.3,19.5,0.89
16-09-2023,03:11.1,233.88,233.96,234.1,19.1,19.3,19.5,0.88
16-09-2023,03:16.1,233.84,233.92,234.04,19.1,19.3,19.5,0.89
16-09-2023,03:21.1,233.8,233.92,234.04,19.1,19.3,19.5,0.89
16-09-2023,03:26.1,233.86,233.98,234.08,19.1,19.3,19.5,0.9
16-09-2023,03:31.1,233.86,233.98,234.1,19.1,19.3,19.5,0.9
16-09-2023,03:36.1,233.64,233.92,234.12,19.1,19.3,19.5,0.91
16-09-2023,03:41.1,233.52,233.7,233.8,19.1,19.3,19.5,0.92
16-09-2023,03:46.1,233.48,233.68,233.84,19.1,19.3,19.5,0.91
16-09-2023,03:51.1,233.38,233.72,233.9,19.1,19.3,19.5,0.91
16-09-2023,03:56.1,233.5,233.68,233.82,19.1,19.3,19.5,0.91
16-09-2023,04:01.1,233.26,233.6,233.76,19.1,19.3,19.5,0.9
16-09-2023,04:06.1,233.54,233.7,233.82,19.1,19.3,19.5,0.91
16-09-2023,04:11.1,233.7,233.82,233.94,19.1,19.3,19.5,0.91
16-09-2023,04:16.1,233.52,233.72,233.9,19.2,19.3,19.6,0.92
16-09-2023,04:21.1,233.64,233.78,233.9,19.2,19.4,19.6,0.92
16-09-2023,04:26.1,233.56,233.7,233.82,19.2,19.4,19.6,0.91
16-09-2023,04:31.1,233.44,233.66,233.86,19.2,19.4,19.6,0.92
16-09-2023,04:36.1,233.34,233.52,233.68,19.2,19.4,19.5,0.92
16-09-2023,04:41.1,233.3,233.44,233.54,19.1,19.3,19.5,0.92
16-09-2023,04:46.1,233.4,233.54,233.64,19.2,19.4,19.6,0.91
16-09-2023,04:51.1,233.38,233.54,233.7,19.2,19.4,19.6,0.91
16-09-2023,04:56.1,233.3,233.56,233.74,19.2,19.4,19.6,0.92
16-09-2023,05:01.1,233.52,233.8,234.12,19.2,19.4,19.6,0.91
16-09-2023,05:06.1,233.76,233.98,234.12,19.2,19.4,19.6,0.91
16-09-2023,05:11.1,233.82,233.98,234.16,19.2,19.4,19.6,0.92
16-09-2023,05:16.1,234.02,234.16,234.36,19.2,19.4,19.6,0.93
16-09-2023,05:21.1,234.02,234.3,234.46,19.2,19.4,19.6,0.93
16-09-2023,05:26.1,233.9,234.18,234.34,19.2,19.4,19.6,0.92
16-09-2023,05:31.1,233.72,233.96,234.22,19.3,19.4,19.6,0.92
16-09-2023,05:36.1,233.9,234.04,234.16,19.3,19.5,19.7,0.91
16-09-2023,05:41.1,234,234.18,234.36,19.3,19.5,19.6,0.92
16-09-2023,05:46.1,234.06,234.26,234.42,19.3,19.5,19.7,0.92
16-09-2023,05:51.1,234.14,234.28,234.44,19.3,19.5,19.7,0.92
16-09-2023,05:56.1,234.1,234.22,234.38,19.3,19.5,19.6,0.92
16-09-2023,06:01.1,234.06,234.22,234.4,19.3,19.5,19.7,0.92
16-09-2023,06:06.1,233.98,234.08,234.24,19.3,19.5,19.7,0.92
16-09-2023,06:11.1,233.94,234.04,234.12,19.3,19.5,19.7,0.92
16-09-2023,06:16.1,233.9,234.02,234.16,19.3,19.5,19.7,0.92
16-09-2023,06:21.1,233.84,234,234.1,19.3,19.5,19.7,0.92
16-09-2023,06:26.1,233.8,234.04,234.18,19.3,19.5,19.7,0.92
16-09-2023,06:31.1,234,234.14,234.22,19.3,19.5,19.7,0.91
16-09-2023,06:36.1,233.72,233.9,234.14,19.3,19.5,19.7,0.91
16-09-2023,06:41.1,233.76,233.88,233.98,19.3,19.5,19.7,0.91
16-09-2023,06:46.1,233.74,233.96,234.1,19.3,19.5,19.7,0.92
16-09-2023,06:51.1,233.9,234.04,234.12,19.3,19.5,19.7,0.93
16-09-2023,06:56.1,233.9,234.04,234.14,19.3,19.5,19.7,0.92
16-09-2023,07:01.1,233.84,233.98,234.1,19.3,19.5,19.7,0.91
16-09-2023,07:06.1,233.7,233.84,233.94,19.3,19.5,19.7,0.91
16-09-2023,07:11.1,233.76,233.9,234.06,19.4,19.5,19.8,0.9
16-09-2023,07:16.1,233.72,233.86,233.96,19.4,19.6,19.8,0.9
16-09-2023,07:21.1,233.82,233.94,234.04,19.4,19.6,19.8,0.9
16-09-2023,07:26.1,233.94,234.04,234.18,19.4,19.6,19.8,0.89
16-09-2023,07:31.1,233.98,234.08,234.22,19.3,19.5,19.7,0.88
16-09-2023,07:36.1,233.9,234.12,234.24,19.4,19.6,19.8,0.89
16-09-2023,07:41.1,233.94,234.18,234.36,19.4,19.6,19.8,0.88
16-09-2023,07:46.1,234.2,234.4,234.54,19.4,19.6,19.8,0.89
16-09-2023,07:51.1,234.36,234.46,234.58,19.4,19.6,19.8,0.89
16-09-2023,07:56.1,234.14,234.28,234.4,19.4,19.6,19.8,0.9
16-09-2023,08:01.1,234.08,234.26,234.36,19.4,19.6,19.7,0.9
16-09-2023,08:06.1,234.02,234.26,234.52,19.4,19.6,19.8,0.9
16-09-2023,08:11.1,234.28,234.46,234.78,19.3,19.5,19.7,0.89
16-09-2023,08:16.1,234.58,234.68,234.8,19.3,19.5,19.7,0.89
16-09-2023,08:21.1,234.44,234.58,234.72,19.3,19.5,19.7,0.89
16-09-2023,08:26.1,234.42,234.54,234.64,19.4,19.6,19.8,0.89
16-09-2023,08:31.1,234.38,234.5,234.64,19.5,19.7,19.9,0.88
16-09-2023,08:36.1,234.34,234.5,234.6,19.6,19.7,20,0.88
16-09-2023,08:41.1,234.36,234.5,234.62,19.5,19.7,19.9,0.88
16-09-2023,08:46.1,234.46,234.56,234.64,19.5,19.7,19.9,0.89
16-09-2023,08:51.1,234.38,234.58,234.72,19.5,19.7,19.9,0.89
16-09-2023,08:56.1,234.02,234.4,234.64,19.5,19.7,19.9,0.88
16-09-2023,09:01.1,233.92,234.2,234.4,19.5,20,21.1,0.89
16-09-2023,09:06.1,233.04,233.44,233.86,21,21.7,22.3,0.94
16-09-2023,09:11.1,233.12,234.18,235.78,17.3,20.2,22.3,0.87
16-09-2023,09:16.1,235.82,236.7,237.2,15.6,16.3,17.4,0.72
16-09-2023,09:21.1,237.02,237.12,237.22,15.6,15.9,16.2,0.7
16-09-2023,09:26.1,236.98,237.24,239,8,15.6,16.1,0.7
16-09-2023,09:31.1,238.86,239.02,239.16,6.8,7.1,7.3,0.51
16-09-2023,09:36.1,238.72,238.9,239.02,6.8,7.1,7.3,0.51
16-09-2023,09:41.1,238.64,238.8,238.92,6.8,7.1,7.3,0.51
16-09-2023,09:46.1,238.7,238.9,239.04,6.8,7.1,7.3,0.51
16-09-2023,09:51.1,238.7,238.82,238.98,6.8,7.1,7.3,0.51
16-09-2023,09:56.1,238.78,238.9,239.02,6.8,7.1,7.3,0.51
16-09-2023,10:01.1,238.92,239.02,239.2,6.8,7.1,7.4,0.51
16-09-2023,10:06.1,239,239.14,239.28,6.8,7.1,7.3,0.51
16-09-2023,10:11.1,239.02,239.12,239.26,6.8,7.1,7.3,0.51
16-09-2023,10:16.1,238.64,238.98,239.18,6.8,7.1,7.3,0.51
16-09-2023,10:21.1,238.72,238.92,239.04,6.8,7.1,7.4,0.51
16-09-2023,10:26.1,238.7,238.82,239.02,6.8,7.1,7.3,0.51
16-09-2023,10:31.1,238.16,238.56,238.88,6.8,7.1,7.3,0.54
16-09-2023,10:36.1,238.54,238.72,238.84,6.8,7.1,7.3,0.52
16-09-2023,10:41.1,238.56,238.72,238.92,6.8,7.1,7.3,0.53
16-09-2023,10:46.1,238.64,238.76,238.9,6.8,7.2,7.6,0.52
16-09-2023,10:51.1,238.5,238.64,238.78,7.2,7.5,7.7,0.51
16-09-2023,10:56.1,238.3,238.48,238.74,7.2,7.5,7.7,0.52
16-09-2023,11:01.1,238.32,238.48,238.7,7.2,7.4,7.6,0.52
16-09-2023,11:06.1,238.6,238.74,238.84,7.2,7.5,7.7,0.52
16-09-2023,11:11.1,238.58,238.74,238.92,7.2,7.5,7.7,0.52
16-09-2023,11:16.1,238.48,238.6,238.7,7.2,7.4,7.7,0.52
16-09-2023,11:21.1,238.52,238.62,238.72,7.2,7.4,7.7,0.52
16-09-2023,11:26.1,238.48,238.62,238.86,7.2,7.4,7.7,0.52
16-09-2023,11:31.1,238.06,238.44,238.68,7,7.3,7.7,0.52
16-09-2023,11:36.1,238.22,238.28,238.36,7,7.2,7.3,0.52
16-09-2023,11:41.1,238.28,238.54,238.66,4.2,5.3,7.3,0.52
16-09-2023,11:46.1,238.36,238.6,238.76,4.3,4.3,4.3,0.51
16-09-2023,11:51.1,238.3,238.54,238.7,4.3,4.3,4.3,0.52
16-09-2023,11:56.1,238.38,238.46,238.54,4.3,4.3,4.5,0.52
16-09-2023,12:01.1,238.46,238.64,238.76,4.6,4.9,5.1,0.52
16-09-2023,12:06.1,238.54,238.7,238.8,5.1,5.1,5.1,0.51
16-09-2023,12:11.1,238.68,238.8,238.88,5,5.1,5.1,0.5
16-09-2023,12:16.1,238.7,238.84,238.94,5,5.1,5.1,0.5
16-09-2023,12:21.1,238.62,238.72,238.8,5,5.1,5.1,0.52
16-09-2023,12:26.1,238.58,238.7,238.78,5,5.1,5.4,0.52
16-09-2023,12:31.1,238.62,238.7,238.8,5.3,5.4,5.5,0.52
16-09-2023,12:36.1,238.5,238.58,238.66,5.5,5.5,5.6,0.52
16-09-2023,12:41.1,238.28,238.46,238.58,5.5,5.6,5.7,0.53
16-09-2023,12:46.1,238.26,238.36,238.46,5.7,5.7,5.7,0.52
16-09-2023,12:51.1,238.32,238.46,238.58,5.7,5.7,5.8,0.53
16-09-2023,12:56.1,238.58,238.68,238.76,5.7,5.8,5.8,0.52
16-09-2023,13:01.1,238.66,238.74,238.88,5.7,5.7,5.8,0.54
16-09-2023,13:06.1,238.76,238.88,238.98,5.7,5.7,5.8,0.53
16-09-2023,13:11.1,238.66,238.8,238.96,5.7,5.7,5.8,0.53
16-09-2023,13:16.1,238.64,238.76,238.88,5.7,5.7,5.8,0.52
16-09-2023,13:21.1,238.52,238.68,238.76,5.7,5.7,5.7,0.52
16-09-2023,13:26.1,237.74,238.68,238.8,5.7,5.7,5.7,0.53
16-09-2023,13:31.1,238.2,238.58,238.72,5.6,5.7,5.7,0.55
16-09-2023,13:36.1,238.38,238.62,238.78,5.6,5.7,5.7,0.53
16-09-2023,13:41.1,238.46,238.58,238.68,5.7,5.7,5.7,0.53
16-09-2023,13:46.1,220.62,237.42,238.6,5.7,13.8,54.3,0.61
16-09-2023,13:51.1,236.68,236.78,236.84,13.8,13.9,13.9,0.69
16-09-2023,13:56.1,236.36,236.54,236.74,13.8,13.8,13.9,0.7
16-09-2023,14:01.1,235.88,236.12,236.38,13.8,14,14.2,0.73
16-09-2023,14:06.1,235.58,235.76,235.96,14.2,14.4,14.5,0.74
16-09-2023,14:11.1,235.1,235.56,235.74,14.5,14.6,15.1,0.75
